datasetid,recordid,record_timestamp,commune,obs_gestion,section,geo_point_2d,nom_voie,mot_directeur,pole,tm,observations,code_insee,carte_velo,longueur_m,type,obs_type,revetement,eclairage,geometry_type,geometry_coordinates,geo_shape_type,geo_shape_coordinates_1,geo_shape_coordinates_2,geo_shape_coordinates_3
reseau-cyclable-et-vert,8daff5f4ef656ebef4ccd9c3088d7d55eb67d9d8,2021-10-06 00:01:14.899+02:00,Toulouse,TM,179 - 253,"(43.5916295073, 1.38604630879)",av de lardenne,LARDENNE,Sud,oui,2011,31555,bande cyclable ou couloir bus,119,RC,bande cyclable,,,Point,"(1.38604630879, 43.5916295073)",MultiLineString,"[(1.386696445817869, 43.591879541461886), (1.385396171755699, 43.59137947307385)]",,
reseau-cyclable-et-vert,690528dd9eddfcd33e1766d3495709ab18e58bf9,2021-10-06 00:01:14.899+02:00,Toulouse,TM,,"(43.5459885183, 1.4269646573800001)",Liaison vers Portet,PALAYRE,Sud,oui,,31555,Piste cyclable ou partagee,537,RC,voie verte,,,Point,"(1.4269646573800001, 43.5459885183)",MultiLineString,"[(1.428666914044502, 43.547662371094816), (1.428763920609083, 43.547480537529374), (1.428869074805073, 43.54730797212909), (1.428867226362998, 43.547124469427374), (1.4287916692339921, 43.546788933336835), (1.428685101229208, 43.546526000377106), (1.428521481280928, 43.54642250593183), (1.428268323400719, 43.54627185076499), (1.427726411706361, 43.54613016107364), (1.4272262971723921, 43.545995143596585), (1.426727119035407, 43.54582350702805), (1.425646034759332, 43.5454523096094), (1.4252928996545091, 43.545295707759344), (1.4248716500166752, 43.54508112282919), (1.424723355693311, 43.5450055795856), (1.424558305306433, 43.54489648721832), (1.424413531411697, 43.54481514531653), (1.42437244606035, 43.544781006935494), (1.424371246517103, 43.54474588592536)]",,
reseau-cyclable-et-vert,de1282a7871d04a2c4dfdc22077bfff37e6a5788,2021-10-06 00:01:14.899+02:00,Toulouse,TM,langlade - chemineme,"(43.5706103801, 1.42606008707)",liaison imp langlade - cheminement rocad,LANGLADE,Centre,oui,,31555,Piste cyclable ou partagee,55,RC,piste cyclable,,,Point,"(1.42606008707, 43.5706103801)",MultiLineString,"[(1.426146815465475, 43.57037070987219), (1.425973358679288, 43.57085005025767)]",,
reseau-cyclable-et-vert,3889a9d697869d4a83ede60366472898ca59e0e0,2021-10-06 00:01:14.899+02:00,Toulouse,TM,flambere - arenes ro,"(43.6149427365, 1.39588949993)",flambere - arenes romaines,FLAMBERE,Ouest,oui,,31555,Piste cyclable ou partagee,228,RC,voie verte,enrobe,,Point,"(1.39588949993, 43.6149427365)",MultiLineString,"[(1.3971283644449382, 43.614501990224774), (1.3970085193897699, 43.614487649618646), (1.396912010449369, 43.614505490198695), (1.3955197274774052, 43.61509756441046), (1.394663685555599, 43.61545849445563)]",,
reseau-cyclable-et-vert,b01d4001d9b4a4f60e2945f178f4f70a2c3c5dcf,2021-10-06 00:01:14.899+02:00,Aucamville,TM,Horticulteurs - Auca,"(43.6593835583, 1.42783536794)",piste cyclable des Horticulteurs,HORTICULTEURS,Nord,oui,,31022,Piste cyclable ou partagee,210,RC,voie verte,,,Point,"(1.42783536794, 43.6593835583)",MultiLineString,"[(1.427063098900535, 43.66003153548104), (1.42737380118374, 43.65999618173528), (1.428506007744859, 43.658557681584995), (1.428507340802924, 43.658555800227276)]",,
reseau-cyclable-et-vert,ed87c90a0717ec9e7a6cd6bf507675e8efe9eb3a,2021-10-06 00:01:14.899+02:00,Toulouse,TM,Escalle - Fondeville,"(43.5470421005, 1.45317583601)",che de Pechbusque,PECHBUSQUE,Est,oui,,31555,Piste cyclable ou partagee,308,RC,voie verte,,,Point,"(1.45317583601, 43.5470421005)",MultiLineString,"[(1.452304735074582, 43.54592876769469), (1.4527158758098562, 43.5461855445308), (1.4529406323990801, 43.54629137343377), (1.4530519212725521, 43.54650606719235), (1.453087534733505, 43.54664921066994), (1.4531085339938121, 43.54690009848908), (1.4531331624302861, 43.54699395727679), (1.45381026746108, 43.54826705269352), (1.453846584854401, 43.548361948206214)]",,
reseau-cyclable-et-vert,2622300585294504bcdafc65fc9d8d0f80912145,2021-10-06 00:01:14.899+02:00,Toulouse,TM,Fronton - Croix Beni,"(43.6596884713, 1.43320116268)",,CROIX BENITE,Nord,oui,,31555,Piste cyclable ou partagee,250,RC,voie verte,,,Point,"(1.43320116268, 43.6596884713)",MultiLineString,"[(1.434553942643686, 43.660028010786135), (1.434076698467112, 43.659959875111156), (1.433965397552982, 43.65990884407561), (1.433933408492551, 43.659869797124585), (1.433886663005455, 43.65977197500752), (1.433865646274752, 43.65969706241153), (1.433647123015978, 43.659669776755436), (1.433580325244641, 43.65960585352825), (1.4328579535844401, 43.65963226380731), (1.432233847747638, 43.65953834916633), (1.431872279252262, 43.65949099674941), (1.43176676092459, 43.65948826125852)]",,
reseau-cyclable-et-vert,ad7165c1e5f5c28eb0de31dca04f8e24e192b147,2021-10-06 00:01:14.899+02:00,Toulouse,TM,Demoiselles - Boulin,"(43.5923140335, 1.4533366133499999)",all Mistral,MISTRAL,Centre,oui,2015,31555,Bande cyclable ou couloir bus,385,RC,couloir bus,,,Point,"(1.4533366133499999, 43.5923140335)",MultiLineString,"[(1.453101557411456, 43.59403793283818), (1.453571669284695, 43.59059013422927)]",,
reseau-cyclable-et-vert,bc7aad46bec71fd906265fac4a892be42daa1789,2021-10-06 00:01:14.899+02:00,Gagnac-sur-Garonne,TM,,"(43.6951966415, 1.37900641898)",,,Nord,oui,,31205,Piste cyclable ou partagee,125,RC,voie verte,,,Point,"(1.37900641898, 43.6951966415)",MultiLineString,"[(1.3791958758424672, 43.69574179498503), (1.378816962123493, 43.6946514879353)]",,
reseau-cyclable-et-vert,900a9a06db2e021618b10423d5a29f0d1891229e,2021-10-06 00:01:14.899+02:00,Seilh,TM,,"(43.6783449768, 1.35280266954)",,,Ouest,oui,,31541,Reseau vert,688,RV,reseau vert,,,Point,"(1.35280266954, 43.6783449768)",MultiLineString,"[(1.349296326270925, 43.68011688288984), (1.34992086846992, 43.67972982474897), (1.350676698559452, 43.67918179908725), (1.350924395007807, 43.67901306803729), (1.351206938174646, 43.678840630631385), (1.352209866994792, 43.67835913827352), (1.352590319431942, 43.67820489876346), (1.353015240630502, 43.67811851273464), (1.3535568047208582, 43.678000173636235), (1.354210023515973, 43.67782039844475), (1.355057360683388, 43.67752573692458), (1.356484282478352, 43.67692155310065)]",,
